asn,name
1,Level 3 Parent LLC
2,University of Delaware
3,Massachusetts Institute of Technology
4,University of Southern California
5,WFA Group LLC
6,Atos IT Solutions and Services Inc.
8,Rice University
9,Carnegie Mellon University
10,CSNET Coordination and Information Center (CSNET-CIC)
11,Harvard University
12,New York University
13,Headquarters USAISC
14,Columbia University
15,DYNAMICS
16,Lawrence Berkeley National Laboratory
17,Purdue University
18,University of Texas at Austin
19,Leidos Inc.
20,University of Rochester
21,The RAND Corporation
22,Navy Network Information Center (NNIC)
23,National Aeronautics and Space Administration
24,National Aeronautics and Space Administration
25,University of California at Berkeley
26,Cornell University
27,University of Maryland
29,Yale University
30,SRI International
31,California Institute of Technology
32,Stanford University
33,HP Inc.
34,University of Delaware
35,The Mitre Corporation
36,SRI International
37,Navy Network Information Center (NNIC)
38,University of Illinois
39,DoD Network Information Center
42,Woodynet Inc.
43,Brookhaven National Laboratory
44,Lawrence Livermore National Laboratory
45,Lawrence Livermore National Laboratory
46,Rutgers the State University
47,University of Southern California
48,Navy Network Information Center (NNIC)
49,National Institute of Standards and Technology
50,Oak Ridge National Laboratory
52,University of California Los Angeles
53,Northrop Grumman Corporation - Automation Sciences Laboratory
55,University of Pennsylvania
56,DoD Network Information Center
57,University of Minnesota
58,Shared Services Canada
59,University of Wisconsin Madison
61,Air Force Systems Networking
62,CyrusOne LLC
63,Massachusetts Institute of Technology
65,Air Force Systems Networking
67,Unisys Corporation
68,Los Alamos National Laboratory
69,University of Pennsylvania
70,National Library of Medicine
71,HP Inc.
72,Schlumberger Limited
73,University of Washington
75,Argonne National Laboratory
77,Johns Hopkins University Applied Physics Laboratory
78,BT Americas Inc
80,General Electric Company
81,MCNC
82,Attachmate Corp.
84,Navy Network Information Center (NNIC)
85,The Aerospace Corporation
86,DXC US Latin America Corporation
87,Indiana University
88,Princeton University
89,Navy Network Information Center (NNIC)
90,Oracle Corporation
91,Rensselaer Polytechnic Institute
92,Clarkson University
93,NTT America Inc.
97,NTT America Inc.
98,The Rockefeller University
100,FMC Central Engineering Laboratories
101,University of Washington
102,U.S. National Science Foundation
103,Northwestern University
104,University of Colorado at Boulder
106,General Dynamics Mission Systems Inc.
109,Cisco Systems Inc.
110,Xerox Advanced Information Technology
111,Boston University
112,DNS-OARC
116,Ericsson Inc.
119,American Mathematical Society
121,DoD Network Information Center
122,UPMC
125,Honeywell International Inc.
127,Jet Propulsion Laboratory
