port,name,description,wellknown,common
0,reserved,Reserved,0,0
1,tcpmux,TCP Port Service Multiplexer,1,1
2,compressnet,Management Utility,1,0
3,compressnet,Compression Process,1,1
4,unassigned,Unassigned,0,1
5,rje,Remote Job Entry,1,0
6,unassigned,Unassigned,0,1
7,echo,Echo,1,1
8,unassigned,Unassigned,0,0
9,discard,Discard,1,1
10,unassigned,Unassigned,0,0
11,systat,Active Users,1,0
12,unassigned,Unassigned,0,0
13,daytime,Daytime,1,1
14,unassigned,Unassigned,0,0
15,unassigned,Unassigned (formerly reserved for netstat),0,0
16,unassigned,Unassigned,0,0
17,qotd,Quote of the Day,1,1
18,msp,Message Send Protocol (historic),1,0
19,chargen,Character Generator,1,1
20,ftp-data,File Transfer [Default Data],1,1
21,ftp,File Transfer Protocol [Control],1,1
22,ssh,The Secure Shell (SSH) Protocol,1,1
23,telnet,Telnet,1,1
24,,any private mail system,0,1
25,smtp,Simple Mail Transfer,1,1
26,unassigned,Unassigned,0,1
27,nsw-fe,NSW User System FE,1,0
28,unassigned,Unassigned,0,0
29,msg-icp,MSG ICP,1,0
30,unassigned,Unassigned,0,1
31,msg-auth,MSG Authentication,1,0
32,unassigned,Unassigned,0,1
33,dsp,Display Support Protocol,1,1
34,unassigned,Unassigned,0,0
35,,any private printer server,0,0
36,unassigned,Unassigned,0,0
37,time,Time,1,1
38,rap,Route Access Protocol,1,0
39,rlp,Resource Location Protocol,1,0
40,unassigned,Unassigned,0,0
41,graphics,Graphics,1,0
42,nameserver,Host Name Server,1,1
43,nicname,Who Is,1,1
44,mpm-flags,MPM FLAGS Protocol,1,0
45,mpm,Message Processing Module [recv],1,0
46,mpm-snd,MPM [default send],1,0
47,reserved,Reserved,0,0
48,auditd,Digital Audit Daemon,1,0
49,tacacs,Login Host Protocol (TACACS),1,1
50,re-mail-ck,Remote Mail Checking Protocol,1,0
52,xns-time,XNS Time Protocol,1,0
53,domain,Domain Name Server,1,1
54,xns-ch,XNS Clearinghouse,1,0
55,isi-gl,ISI Graphics Language,1,0
56,xns-auth,XNS Authentication,1,0
57,,any private terminal access,0,0
58,xns-mail,XNS Mail,1,0
59,,any private file service,0,0
60,unassigned,Unassigned,0,0
61,reserved,Reserved,0,0
62,acas,ACA Services,1,0
63,whois++,whois++,1,0
64,covia,Communications Integrator (CI),1,0
65,tacacs-ds,TACACS-Database Service,1,0
66,sql*net,Oracle SQL*NET,1,0
67,dhcpv4-server,DHCPv4 Server (Bootstrap Protocol Server),1,0
68,dhcpv4-client,DHCPv4 Client (Bootstrap Protocol Client),1,0
69,tftp,Trivial File Transfer,1,0
70,gopher,Gopher,1,1
71,netrjs-1,Remote Job Service,1,0
72,netrjs-2,Remote Job Service,1,0
73,netrjs-3,Remote Job Service,1,0
74,netrjs-4,Remote Job Service,1,0
75,,any private dial out service,0,0
76,deos,Distributed External Object Store,1,0
77,,any private RJE service,0,0
78,vettcp,vettcp,1,0
79,finger,Finger,1,1
80,http,World Wide Web HTTP,1,1
82,xfer,XFER Utility,1,1
83,mit-ml-dev,MIT ML Device,1,1
84,ctf,Common Trace Facility,1,1
85,mit-ml-dev,MIT ML Device,1,1
86,mfcobol,Micro Focus Cobol,1,0
87,,any private terminal link,0,0
88,kerberos,Kerberos,1,1
89,su-mit-tg,SU/MIT Telnet Gateway,1,1
90,dnsix,DNSIX Securit Attribute Token Map,1,1
91,mit-dov,MIT Dover Spooler,1,0
92,npp,Network Printing Protocol,1,0
93,dcp,Device Control Protocol,1,0
94,objcall,Tivoli Object Dispatcher,1,0
95,supdup,SUPDUP,1,0
96,dixie,DIXIE Protocol Specification,1,0
97,swift-rvf,Swift Remote Virtural File Protocol,1,0
98,tacnews,TAC News,1,0
99,metagram,Metagram Relay,1,1
101,hostname,NIC Host Name Server,1,0
102,iso-tsap,ISO-TSAP Class 0,1,0
103,gppitnp,Genesis Point-to-Point Trans Net,1,0
104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,1,0
105,csnet-ns,Mailbox Name Nameserver,1,0
106,3com-tsmux,3COM-TSMUX,1,1
107,rtelnet,Remote Telnet Service,1,0
108,snagas,SNA Gateway Access Server,1,0
109,pop2,Post Office Protocol - Version 2,1,1
110,pop3,Post Office Protocol - Version 3,1,1
111,sunrpc,SUN Remote Procedure Call,1,1
112,mcidas,McIDAS Data Transmission Protocol,1,0
113,auth,Authentication Service,1,1
115,sftp,Simple File Transfer Protocol,1,0
116,ansanotify,ANSA REX Notify,1,0
117,uucp-path,UUCP Path Service,1,0
118,sqlserv,SQL Services,1,0
119,nntp,Network News Transfer Protocol,1,1
120,cfdptkt,CFDPTKT,1,0
121,erpc,Encore Expedited Remote Pro.Call,1,0
122,smakynet,SMAKYNET,1,0
123,ntp,Network Time Protocol,1,0
124,ansatrader,ANSA REX Trader,1,0
125,locus-map,Locus PC-Interface Net Map Ser,1,1
126,nxedit,NXEdit,1,0
127,locus-con,Locus PC-Interface Conn Server,1,0
128,gss-xlicen,GSS X License Verification,1,0
129,pwdgen,Password Generator Protocol,1,0
130,cisco-fna,cisco FNATIVE,1,0
131,cisco-tna,cisco TNATIVE,1,0
132,cisco-sys,cisco SYSMAINT,1,0
133,statsrv,Statistics Service,1,0
134,ingres-net,INGRES-NET Service,1,0
135,epmap,DCE endpoint resolution,1,1
136,profile,PROFILE Naming System,1,0
137,netbios-ns,NETBIOS Name Service,1,0
138,netbios-dgm,NETBIOS Datagram Service,1,0
139,netbios-ssn,NETBIOS Session Service,1,1
140,emfis-data,EMFIS Data Service,1,0
141,emfis-cntl,EMFIS Control Service,1,0
142,bl-idm,Britton-Lee IDM,1,0
143,imap,Internet Message Access Protocol,1,1
144,uma,Universal Management Architecture,1,1
145,uaac,UAAC Protocol,1,0
146,iso-tp0,ISO-IP0,1,1
147,iso-ip,ISO-IP,1,0
148,jargon,Jargon,1,0
149,aed-512,AED 512 Emulation Service,1,0
150,sql-net,SQL-NET,1,0
151,hems,HEMS,1,0
152,bftp,Background File Transfer Program,1,0
153,sgmp,SGMP,1,0
154,netsc-prod,NETSC,1,0
155,netsc-dev,NETSC,1,0
156,sqlsrv,SQL Service,1,0
157,knet-cmp,KNET/VM Command/Message Protocol,1,0
158,pcmail-srv,PCMail Server,1,0
159,nss-routing,NSS-Routing,1,0
160,sgmp-traps,SGMP-TRAPS,1,0
161,snmp,SNMP,1,1
162,snmptrap,SNMPTRAP,1,0
163,cmip-man,CMIP/TCP Manager,1,1
164,cmip-agent,CMIP/TCP Agent,1,0
165,xns-courier,Xerox,1,0
166,s-net,Sirius Systems,1,0
167,namp,NAMP,1,0
168,rsvd,RSVD,1,0
169,send,SEND,1,0
170,print-srv,Network PostScript,1,0
171,multiplex,Network Innovations Multiplex,1,0
172,cl/1,Network Innovations CL/1,1,0
173,xyplex-mux,Xyplex,1,0
174,mailq,MAILQ,1,0
175,vmnet,VMNET,1,0
176,genrad-mux,GENRAD-MUX,1,0
177,xdmcp,X Display Manager Control Protocol,1,0
178,nextstep,NextStep Window Server,1,0
179,bgp,Border Gateway Protocol,1,1
180,ris,Intergraph,1,0
181,unify,Unify,1,0
182,audit,Unisys Audit SITP,1,0
183,ocbinder,OCBinder,1,0
184,ocserver,OCServer,1,0
185,remote-kis,Remote-KIS,1,0
186,kis,KIS Protocol,1,0
187,aci,Application Communication Interface,1,0
188,mumps,Plus Five's MUMPS,1,0
189,qft,Queued File Transport,1,0
190,gacp,Gateway Access Control Protocol,1,0
191,prospero,Prospero Directory Service,1,0
192,osu-nms,OSU Network Monitoring System,1,0
193,srmp,Spider Remote Monitoring Protocol,1,0
194,irc,Internet Relay Chat Protocol,1,0
195,dn6-nlm-aud,DNSIX Network Level Module Audit,1,0
196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir,1,0
197,dls,Directory Location Service,1,0
198,dls-mon,Directory Location Service Monitor,1,0
199,smux,SMUX,1,1
200,src,IBM System Resource Controller,1,0
201,at-rtmp,AppleTalk Routing Maintenance,1,0
202,at-nbp,AppleTalk Name Binding,1,0
203,at-3,AppleTalk Unused,1,0
204,at-echo,AppleTalk Echo,1,0
205,at-5,AppleTalk Unused,1,0
206,at-zis,AppleTalk Zone Information,1,0
207,at-7,AppleTalk Unused,1,0
208,at-8,AppleTalk Unused,1,0
209,qmtp,The Quick Mail Transfer Protocol,1,0
210,z39.50,ANSI Z39.50,1,0
211,914c/g,Texas Instruments 914C/G Terminal,1,1
212,anet,ATEXSSTR,1,1
213,ipx,IPX,1,0
214,vmpwscs,VM PWSCS,1,0
215,softpc,Insignia Solutions,1,0
216,CAIlic,Computer Associates Int'l License Server,1,0
217,dbase,dBASE Unix,1,0
218,mpp,Netix Message Posting Protocol,1,0
219,uarps,Unisys ARPs,1,0
220,imap3,Interactive Mail Access Protocol v3,1,0
221,fln-spx,Berkeley rlogind with SPX auth,1,0
222,rsh-spx,Berkeley rshd with SPX auth,1,1
223,cdc,Certificate Distribution Center,1,0
224,masqdialer,masqdialer,1,0
242,direct,Direct,1,0
243,sur-meas,Survey Measurement,1,0
244,inbusiness,inbusiness,1,0
245,link,LINK,1,0
246,dsp3270,Display Systems Protocol,1,0
247,subntbcst_tftp,SUBNTBCST_TFTP,1,0
248,bhfhs,bhfhs,1,0
256,rap,RAP,1,1
257,set,Secure Electronic Transaction,1,0
259,esro-gen,Efficient Short Remote Operations,1,1
260,openport,Openport,1,0
261,nsiiops,IIOP Name Service over TLS/SSL,1,0
262,arcisdms,Arcisdms,1,0
263,hdap,HDAP,1,0
264,bgmp,BGMP,1,1
265,x-bone-ctl,X-Bone CTL,1,0
266,sst,SCSI on ST,1,0
267,td-service,Tobit David Service Layer,1,0
268,td-replica,Tobit David Replica,1,0
269,manet,MANET Protocols,1,0
270,reserved,Reserved,0,0
271,pt-tls,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),1,0
280,http-mgmt,http-mgmt,1,1
281,personal-link,Personal Link,1,0
282,cableport-ax,Cable Port A/X,1,0
283,rescap,rescap,1,0
284,corerjd,corerjd,1,0
286,fxp,FXP Communication,1,0
287,k-block,K-BLOCK,1,0
308,novastorbakcup,Novastor Backup,1,0
309,entrusttime,EntrustTime,1,0
310,bhmds,bhmds,1,0
311,asip-webadmin,AppleShare IP WebAdmin,1,1
312,vslmp,VSLMP,1,0
313,magenta-logic,Magenta Logic,1,0
314,opalis-robot,Opalis Robot,1,0
315,dpsi,DPSI,1,0
316,decauth,decAuth,1,0
317,zannet,Zannet,1,0
318,pkix-timestamp,PKIX TimeStamp,1,0
319,ptp-event,PTP Event,1,0
320,ptp-general,PTP General,1,0
321,pip,PIP,1,0
322,rtsps,RTSPS,1,0
323,rpki-rtr,Resource PKI to Router Protocol,1,0
324,rpki-rtr-tls,Resource PKI to Router Protocol over TLS,1,0
333,texar,Texar Security Port,1,0
344,pdap,Prospero Data Access Protocol,1,0
345,pawserv,Perf Analysis Workbench,1,0
346,zserv,Zebra server,1,0
347,fatserv,Fatmen Server,1,0
348,csi-sgwp,Cabletron Management Protocol,1,0
349,mftp,mftp,1,0
350,matip-type-a,MATIP Type A,1,0
351,bhoetty,bhoetty,1,0
352,bhoedap4,bhoedap4,1,0
353,ndsauth,NDSAUTH,1,0
354,bh611,bh611,1,0
355,datex-asn,DATEX-ASN,1,0
356,cloanto-net-1,Cloanto Net 1,1,0
357,bhevent,bhevent,1,0
358,shrinkwrap,Shrinkwrap,1,0
359,nsrmp,Network Security Risk Management Protocol,1,0
360,scoi2odialog,scoi2odialog,1,0
361,semantix,Semantix,1,0
362,srssend,SRS Send,1,0
363,rsvp_tunnel,RSVP Tunnel,1,0
364,aurora-cmgr,Aurora CMGR,1,0
365,dtk,DTK,1,0
366,odmr,ODMR,1,1
367,mortgageware,MortgageWare,1,0
368,qbikgdp,QbikGDP,1,0
369,rpc2portmap,rpc2portmap,1,0
370,codaauth2,codaauth2,1,0
371,clearcase,Clearcase,1,0
372,ulistproc,ListProcessor,1,0
373,legent-1,Legent Corporation,1,0
374,legent-2,Legent Corporation,1,0
375,hassle,Hassle,1,0
376,nip,Amiga Envoy Network Inquiry Protocol,1,0
377,tnETOS,NEC Corporation,1,0
378,dsETOS,NEC Corporation,1,0
379,is99c,TIA/EIA/IS-99 modem client,1,0
380,is99s,TIA/EIA/IS-99 modem server,1,0
381,hp-collector,hp performance data collector,1,0
382,hp-managed-node,hp performance data managed node,1,0
